Date,Time,Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,Non-volatile PM10 (Hourly measured),Status,Volatile PM10 (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,Non-volatile PM2.5 (Hourly measured),Status,Volatile PM2.5 (Hourly measured),Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status
02/01/2020,10:00:00,2.37792,P ugm-3,5.81396,P ugm-3,9.46007,P ugm-3,8.55,P ugm-3 (FIDAS),No data,,No data,,3.75,P ugm-3 (Ref.eq),No data,,No data,,219.4,N deg,7.5,N ms-1,8.1,N degC
02/01/2020,11:00:00,2.15299,P ugm-3,6.5551,P ugm-3,9.8563,P ugm-3,13.075,P ugm-3 (FIDAS),No data,,No data,,5.33,P ugm-3 (Ref.eq),No data,,No data,,224.3,N deg,8.5,N ms-1,8.3,N degC
02/01/2020,12:00:00,2.02445,P ugm-3,8.78288,P ugm-3,11.88699,P ugm-3,11.45,P ugm-3 (FIDAS),No data,,No data,,4.953,P ugm-3 (Ref.eq),No data,,No data,,226.2,N deg,9.2,N ms-1,8.4,N degC
02/01/2020,13:00:00,3.47049,P ugm-3,11.36998,P ugm-3,16.69132,P ugm-3,6.65,P ugm-3 (FIDAS),No data,,No data,,3.16,P ugm-3 (Ref.eq),No data,,No data,,223.6,N deg,9.3,N ms-1,8.6,N degC
02/01/2020,14:00:00,2.44219,P ugm-3,10.07399,P ugm-3,13.81863,P ugm-3,2.525,P ugm-3 (FIDAS),No data,,No data,,1.392,P ugm-3 (Ref.eq),No data,,No data,,221.2,N deg,9.3,N ms-1,8.7,N degC
02/01/2020,15:00:00,2.60286,P ugm-3,11.41256,P ugm-3,15.40356,P ugm-3,3,P ugm-3 (FIDAS),No data,,No data,,1.415,P ugm-3 (Ref.eq),No data,,No data,,219.4,N deg,9.2,N ms-1,9.2,N degC
02/01/2020,16:00:00,3.98463,P ugm-3,13.55339,P ugm-3,19.66307,P ugm-3,4.825,P ugm-3 (FIDAS),No data,,No data,,2.524,P ugm-3 (Ref.eq),No data,,No data,,220.6,N deg,8.9,N ms-1,9,N degC
02/01/2020,17:00:00,3.79183,P ugm-3,15.03771,P ugm-3,20.85177,P ugm-3,5.15,P ugm-3 (FIDAS),No data,,No data,,2.854,P ugm-3 (Ref.eq),No data,,No data,,222.8,N deg,9,N ms-1,9.3,N degC
02/01/2020,18:00:00,2.37792,P ugm-3,11.41076,P ugm-3,15.05686,P ugm-3,4.35,P ugm-3 (FIDAS),No data,,No data,,2.5,P ugm-3 (Ref.eq),No data,,No data,,230.7,N deg,8.8,N ms-1,9.4,N degC
02/01/2020,19:00:00,3.05274,P ugm-3,12.70392,P ugm-3,17.38473,P ugm-3,5.4,N ugm-3 (FIDAS),No data,,No data,,3.42,P ugm-3 (Ref.eq),No data,,No data,,230.1,N deg,8.4,N ms-1,9.4,N degC
02/01/2020,20:00:00,2.21725,P ugm-3,10.51795,P ugm-3,13.91769,P ugm-3,5.05,P ugm-3 (FIDAS),No data,,No data,,3.396,P ugm-3 (Ref.eq),No data,,No data,,231.9,N deg,7.8,N ms-1,9.2,N degC
02/01/2020,21:00:00,2.98847,P ugm-3,10.37554,P ugm-3,14.9578,P ugm-3,4.675,P ugm-3 (FIDAS),No data,,No data,,3.113,P ugm-3 (Ref.eq),No data,,No data,,241.5,N deg,7.5,N ms-1,9.3,N degC
02/01/2020,22:00:00,2.69927,P ugm-3,9.43217,P ugm-3,13.57098,P ugm-3,4.525,P ugm-3 (FIDAS),No data,,No data,,2.807,P ugm-3 (Ref.eq),No data,,No data,,277.3,N deg,6.6,N ms-1,9.2,N degC
02/01/2020,23:00:00,7.61579,P ugm-3,25.37042,P ugm-3,37.04779,P ugm-3,3.3,P ugm-3 (FIDAS),No data,,No data,,1.462,P ugm-3 (Ref.eq),No data,,No data,,333.7,N deg,5.6,N ms-1,6.6,N degC
02/01/2020,24:00:00,5.88054,P ugm-3,23.9697,P ugm-3,32.9864,P ugm-3,11.05,P ugm-3 (FIDAS),No data,,No data,,5.778,P ugm-3 (Ref.eq),No data,,No data,,326.8,N deg,4.1,N ms-1,5.3,N degC
03/01/2020,01:00:00,4.33097,P ugm-3,21.56015,P ugm-3,28.20088,P ugm-3,16.475,P ugm-3 (FIDAS),No data,,No data,,8.467,P ugm-3 (Ref.eq),No data,,No data,,298.3,N deg,4.2,N ms-1,4.5,N degC
